time_bucket,Electricity (kWh)
2023-10-06 00:00:00+00:00,
2023-10-06 01:00:00+00:00,3.823
2023-10-06 02:00:00+00:00,3.769
2023-10-06 03:00:00+00:00,3.875
2023-10-06 04:00:00+00:00,3.951
2023-10-06 05:00:00+00:00,3.634
2023-10-06 06:00:00+00:00,3.784
2023-10-06 07:00:00+00:00,3.808
2023-10-06 08:00:00+00:00,5.358
2023-10-06 09:00:00+00:00,9.879
2023-10-06 10:00:00+00:00,10.119
2023-10-06 11:00:00+00:00,10.06
2023-10-06 12:00:00+00:00,9.865
2023-10-06 13:00:00+00:00,10.121
2023-10-06 14:00:00+00:00,9.11
2023-10-06 15:00:00+00:00,8.347
2023-10-06 16:00:00+00:00,7.416
2023-10-06 17:00:00+00:00,7.071
2023-10-06 18:00:00+00:00,5.938
2023-10-06 19:00:00+00:00,4.758
2023-10-06 20:00:00+00:00,5.211
2023-10-06 21:00:00+00:00,4.474
2023-10-06 22:00:00+00:00,4.205
2023-10-06 23:00:00+00:00,4.214
2023-10-07 00:00:00+00:00,4.322
2023-10-07 01:00:00+00:00,4.26
2023-10-07 02:00:00+00:00,4.31
2023-10-07 03:00:00+00:00,4.334
2023-10-07 04:00:00+00:00,4.069
2023-10-07 05:00:00+00:00,4.254
2023-10-07 06:00:00+00:00,4.224
2023-10-07 07:00:00+00:00,4.42
2023-10-07 08:00:00+00:00,4.278
2023-10-07 09:00:00+00:00,4.325
2023-10-07 10:00:00+00:00,4.153
2023-10-07 11:00:00+00:00,4.295
2023-10-07 12:00:00+00:00,4.543
2023-10-07 13:00:00+00:00,4.461
2023-10-07 14:00:00+00:00,4.328
2023-10-07 15:00:00+00:00,4.36
2023-10-07 16:00:00+00:00,4.205
2023-10-07 17:00:00+00:00,4.515
2023-10-07 18:00:00+00:00,4.405
2023-10-07 19:00:00+00:00,4.396
2023-10-07 20:00:00+00:00,4.212
2023-10-07 21:00:00+00:00,4.302
2023-10-07 22:00:00+00:00,4.528
2023-10-07 23:00:00+00:00,4.469
2023-10-08 00:00:00+00:00,4.205
2023-10-08 01:00:00+00:00,4.353
2023-10-08 02:00:00+00:00,4.373
2023-10-08 03:00:00+00:00,4.086
2023-10-08 04:00:00+00:00,4.149
2023-10-08 05:00:00+00:00,4.543
2023-10-08 06:00:00+00:00,4.075
2023-10-08 07:00:00+00:00,4.358
2023-10-08 08:00:00+00:00,4.25
2023-10-08 09:00:00+00:00,4.142
2023-10-08 10:00:00+00:00,4.513
2023-10-08 11:00:00+00:00,4.339
2023-10-08 12:00:00+00:00,4.343
2023-10-08 13:00:00+00:00,4.355
2023-10-08 14:00:00+00:00,4.302
2023-10-08 15:00:00+00:00,4.485
2023-10-08 16:00:00+00:00,4.469
2023-10-08 17:00:00+00:00,4.408
2023-10-08 18:00:00+00:00,4.352
2023-10-08 19:00:00+00:00,4.213
2023-10-08 20:00:00+00:00,4.188
2023-10-08 21:00:00+00:00,4.436
2023-10-08 22:00:00+00:00,4.505
2023-10-08 23:00:00+00:00,4.246
2023-10-09 00:00:00+00:00,4.199
2023-10-09 01:00:00+00:00,4.169
