Period End,kWh
2021-08-19 00:30:00+00:00,14.6
2021-08-19 01:00:00+00:00,14.4
2021-08-19 01:30:00+00:00,15.1
2021-08-19 02:00:00+00:00,14.2
2021-08-19 02:30:00+00:00,14.4
2021-08-19 03:00:00+00:00,14.4
2021-08-19 03:30:00+00:00,20.1
2021-08-19 04:00:00+00:00,20.8
2021-08-19 04:30:00+00:00,21.0
2021-08-19 05:00:00+00:00,22.3
2021-08-19 05:30:00+00:00,34.3
2021-08-19 06:00:00+00:00,38.0
2021-08-19 06:30:00+00:00,41.1
2021-08-19 07:00:00+00:00,37.4
2021-08-19 07:30:00+00:00,36.6
2021-08-19 08:00:00+00:00,35.8
2021-08-19 08:30:00+00:00,33.7
2021-08-19 09:00:00+00:00,32.0
2021-08-19 09:30:00+00:00,38.7
2021-08-19 10:00:00+00:00,38.5
2021-08-19 10:30:00+00:00,41.1
2021-08-19 11:00:00+00:00,43.3
2021-08-19 11:30:00+00:00,41.7
2021-08-19 12:00:00+00:00,43.4
2021-08-19 12:30:00+00:00,43.3
2021-08-19 13:00:00+00:00,45.9
2021-08-19 13:30:00+00:00,38.0
2021-08-19 14:00:00+00:00,39.8
2021-08-19 14:30:00+00:00,47.8
2021-08-19 15:00:00+00:00,44.0
2021-08-19 15:30:00+00:00,35.5
2021-08-19 16:00:00+00:00,32.7
2021-08-19 16:30:00+00:00,33.1
2021-08-19 17:00:00+00:00,31.8
2021-08-19 17:30:00+00:00,35.4
2021-08-19 18:00:00+00:00,30.6
2021-08-19 18:30:00+00:00,16.8
2021-08-19 19:00:00+00:00,17.4
2021-08-19 19:30:00+00:00,16.6
2021-08-19 20:00:00+00:00,16.2
2021-08-19 20:30:00+00:00,15.7
2021-08-19 21:00:00+00:00,16.4
2021-08-19 21:30:00+00:00,15.8
2021-08-19 22:00:00+00:00,16.4
2021-08-19 22:30:00+00:00,15.4
2021-08-19 23:00:00+00:00,16.1
2021-08-19 23:30:00+00:00,15.8
2021-08-20 00:00:00+00:00,15.3
2021-08-20 00:30:00+00:00,15.9
2021-08-20 01:00:00+00:00,16.3
2021-08-20 01:30:00+00:00,15.6
2021-08-20 02:00:00+00:00,16.4
2021-08-20 02:30:00+00:00,15.6
2021-08-20 03:00:00+00:00,15.5
2021-08-20 03:30:00+00:00,22.4
2021-08-20 04:00:00+00:00,22.4
2021-08-20 04:30:00+00:00,22.3
2021-08-20 05:00:00+00:00,24.3
2021-08-20 05:30:00+00:00,34.8
2021-08-20 06:00:00+00:00,38.2
2021-08-20 06:30:00+00:00,41.8
2021-08-20 07:00:00+00:00,37.4
2021-08-20 07:30:00+00:00,32.6
2021-08-20 08:00:00+00:00,34.5
2021-08-20 08:30:00+00:00,37.6
2021-08-20 09:00:00+00:00,41.6
2021-08-20 09:30:00+00:00,46.1
2021-08-20 10:00:00+00:00,44.5
2021-08-20 10:30:00+00:00,41.9
2021-08-20 11:00:00+00:00,42.3
2021-08-20 11:30:00+00:00,42.9
2021-08-20 12:00:00+00:00,41.7
2021-08-20 12:30:00+00:00,35.4
2021-08-20 13:00:00+00:00,37.3
2021-08-20 13:30:00+00:00,46.5
2021-08-20 14:00:00+00:00,41.4
2021-08-20 14:30:00+00:00,39.1
2021-08-20 15:00:00+00:00,38.6
2021-08-20 15:30:00+00:00,35.6
2021-08-20 16:00:00+00:00,36.1
2021-08-20 16:30:00+00:00,30.7
2021-08-20 17:00:00+00:00,30.0
2021-08-20 17:30:00+00:00,28.6
2021-08-20 18:00:00+00:00,28.4
2021-08-20 18:30:00+00:00,18.8
2021-08-20 19:00:00+00:00,16.7
2021-08-20 19:30:00+00:00,15.9
2021-08-20 20:00:00+00:00,15.6
2021-08-20 20:30:00+00:00,16.3
2021-08-20 21:00:00+00:00,15.5
2021-08-20 21:30:00+00:00,15.5
2021-08-20 22:00:00+00:00,16.0
2021-08-20 22:30:00+00:00,15.4
2021-08-20 23:00:00+00:00,15.4
2021-08-20 23:30:00+00:00,15.6
2021-08-21 00:00:00+00:00,15.5
2021-08-21 00:30:00+00:00,15.9
2021-08-21 01:00:00+00:00,15.4
2021-08-21 01:30:00+00:00,15.8
2021-08-21 02:00:00+00:00,15.4
2021-08-21 02:30:00+00:00,15.6
2021-08-21 03:00:00+00:00,15.9
2021-08-21 03:30:00+00:00,15.4
2021-08-21 04:00:00+00:00,15.8
2021-08-21 04:30:00+00:00,15.2
2021-08-21 05:00:00+00:00,15.9
2021-08-21 05:30:00+00:00,15.4
2021-08-21 06:00:00+00:00,15.8
2021-08-21 06:30:00+00:00,14.7
2021-08-21 07:00:00+00:00,14.6
2021-08-21 07:30:00+00:00,15.7
2021-08-21 08:00:00+00:00,14.7
2021-08-21 08:30:00+00:00,15.2
2021-08-21 09:00:00+00:00,14.1
2021-08-21 09:30:00+00:00,13.6
2021-08-21 10:00:00+00:00,11.7
2021-08-21 10:30:00+00:00,10.5
2021-08-21 11:00:00+00:00,17.3
2021-08-21 11:30:00+00:00,19.2
2021-08-21 12:00:00+00:00,16.0
2021-08-21 12:30:00+00:00,19.4
2021-08-21 13:00:00+00:00,17.0
2021-08-21 13:30:00+00:00,14.9
2021-08-21 14:00:00+00:00,16.4
2021-08-21 14:30:00+00:00,14.6
2021-08-21 15:00:00+00:00,11.9
2021-08-21 15:30:00+00:00,15.2
2021-08-21 16:00:00+00:00,14.2
2021-08-21 16:30:00+00:00,15.8
2021-08-21 17:00:00+00:00,17.5
2021-08-21 17:30:00+00:00,14.5
2021-08-21 18:00:00+00:00,14.4
2021-08-21 18:30:00+00:00,19.2
2021-08-21 19:00:00+00:00,17.4
2021-08-21 19:30:00+00:00,16.5
2021-08-21 20:00:00+00:00,17.4
2021-08-21 20:30:00+00:00,15.2
2021-08-21 21:00:00+00:00,16.2
2021-08-21 21:30:00+00:00,15.5
2021-08-21 22:00:00+00:00,16.0
2021-08-21 22:30:00+00:00,15.7
2021-08-21 23:00:00+00:00,15.5
