Period End,kWh
2021-08-19 00:30:00+00:00,14.6
2021-08-19 01:00:00+00:00,14.4
2021-08-19 01:30:00+00:00,15.1
2021-08-19 02:00:00+00:00,14.2
2021-08-19 02:30:00+00:00,14.4
2021-08-19 03:00:00+00:00,14.4
2021-08-19 03:30:00+00:00,20.1
2021-08-19 04:00:00+00:00,20.8
2021-08-19 04:30:00+00:00,21.0
2021-08-19 05:00:00+00:00,22.3
2021-08-19 05:30:00+00:00,34.3
2021-08-19 06:00:00+00:00,38.0
2021-08-19 06:30:00+00:00,41.1
2021-08-19 07:00:00+00:00,37.4
2021-08-19 07:30:00+00:00,35.6
2021-08-19 08:00:00+00:00,33.8
2021-08-19 08:30:00+00:00,29.7
2021-08-19 09:00:00+00:00,27.0
2021-08-19 09:30:00+00:00,27.7
2021-08-19 10:00:00+00:00,25.5
2021-08-19 10:30:00+00:00,29.1
2021-08-19 11:00:00+00:00,29.3
2021-08-19 11:30:00+00:00,30.7
2021-08-19 12:00:00+00:00,32.4
2021-08-19 12:30:00+00:00,33.3
2021-08-19 13:00:00+00:00,35.9
2021-08-19 13:30:00+00:00,28.0
2021-08-19 14:00:00+00:00,32.8
2021-08-19 14:30:00+00:00,33.8
2021-08-19 15:00:00+00:00,33.0
2021-08-19 15:30:00+00:00,26.5
2021-08-19 16:00:00+00:00,26.7
2021-08-19 16:30:00+00:00,24.1
2021-08-19 17:00:00+00:00,25.8
2021-08-19 17:30:00+00:00,28.4
2021-08-19 18:00:00+00:00,26.6
2021-08-19 18:30:00+00:00,15.8
2021-08-19 19:00:00+00:00,15.4
2021-08-19 19:30:00+00:00,15.6
2021-08-19 20:00:00+00:00,16.2
2021-08-19 20:30:00+00:00,15.7
2021-08-19 21:00:00+00:00,16.4
2021-08-19 21:30:00+00:00,15.8
2021-08-19 22:00:00+00:00,16.4
2021-08-19 22:30:00+00:00,15.4
2021-08-19 23:00:00+00:00,16.1
2021-08-19 23:30:00+00:00,15.8
2021-08-20 00:00:00+00:00,15.3
2021-08-20 00:30:00+00:00,15.9
2021-08-20 01:00:00+00:00,16.3
2021-08-20 01:30:00+00:00,15.6
2021-08-20 02:00:00+00:00,16.4
2021-08-20 02:30:00+00:00,15.6
2021-08-20 03:00:00+00:00,15.5
2021-08-20 03:30:00+00:00,22.4
2021-08-20 04:00:00+00:00,22.4
2021-08-20 04:30:00+00:00,22.3
2021-08-20 05:00:00+00:00,24.3
2021-08-20 05:30:00+00:00,34.8
2021-08-20 06:00:00+00:00,38.2
2021-08-20 06:30:00+00:00,41.8
2021-08-20 07:00:00+00:00,36.4
2021-08-20 07:30:00+00:00,31.6
2021-08-20 08:00:00+00:00,31.5
2021-08-20 08:30:00+00:00,29.6
2021-08-20 09:00:00+00:00,32.6
2021-08-20 09:30:00+00:00,36.1
2021-08-20 10:00:00+00:00,35.5
2021-08-20 10:30:00+00:00,37.9
2021-08-20 11:00:00+00:00,36.3
2021-08-20 11:30:00+00:00,37.9
2021-08-20 12:00:00+00:00,35.7
2021-08-20 12:30:00+00:00,30.4
2021-08-20 13:00:00+00:00,31.3
2021-08-20 13:30:00+00:00,36.5
2021-08-20 14:00:00+00:00,32.4
2021-08-20 14:30:00+00:00,35.1
2021-08-20 15:00:00+00:00,31.6
2021-08-20 15:30:00+00:00,31.6
2021-08-20 16:00:00+00:00,30.1
2021-08-20 16:30:00+00:00,26.7
2021-08-20 17:00:00+00:00,27.0
2021-08-20 17:30:00+00:00,26.6
2021-08-20 18:00:00+00:00,27.4
2021-08-20 18:30:00+00:00,16.8
2021-08-20 19:00:00+00:00,15.7
2021-08-20 19:30:00+00:00,15.9
2021-08-20 20:00:00+00:00,15.6
2021-08-20 20:30:00+00:00,16.3
2021-08-20 21:00:00+00:00,15.5
2021-08-20 21:30:00+00:00,15.5
2021-08-20 22:00:00+00:00,16.0
2021-08-20 22:30:00+00:00,15.4
2021-08-20 23:00:00+00:00,15.4
2021-08-20 23:30:00+00:00,15.6
2021-08-21 00:00:00+00:00,15.5
2021-08-21 00:30:00+00:00,15.9
2021-08-21 01:00:00+00:00,15.4
2021-08-21 01:30:00+00:00,15.8
2021-08-21 02:00:00+00:00,15.4
2021-08-21 02:30:00+00:00,15.6
2021-08-21 03:00:00+00:00,15.9
2021-08-21 03:30:00+00:00,15.4
2021-08-21 04:00:00+00:00,15.8
2021-08-21 04:30:00+00:00,15.2
2021-08-21 05:00:00+00:00,15.9
2021-08-21 05:30:00+00:00,15.4
2021-08-21 06:00:00+00:00,15.8
2021-08-21 06:30:00+00:00,14.7
2021-08-21 07:00:00+00:00,14.6
2021-08-21 07:30:00+00:00,14.7
2021-08-21 08:00:00+00:00,13.7
2021-08-21 08:30:00+00:00,14.2
2021-08-21 09:00:00+00:00,13.1
2021-08-21 09:30:00+00:00,11.6
2021-08-21 10:00:00+00:00,9.7
2021-08-21 10:30:00+00:00,6.5
2021-08-21 11:00:00+00:00,11.3
2021-08-21 11:30:00+00:00,10.2
2021-08-21 12:00:00+00:00,12.0
2021-08-21 12:30:00+00:00,14.4
2021-08-21 13:00:00+00:00,14.0
2021-08-21 13:30:00+00:00,13.9
2021-08-21 14:00:00+00:00,14.4
2021-08-21 14:30:00+00:00,12.6
2021-08-21 15:00:00+00:00,10.9
2021-08-21 15:30:00+00:00,12.2
2021-08-21 16:00:00+00:00,10.2
2021-08-21 16:30:00+00:00,11.8
2021-08-21 17:00:00+00:00,12.5
2021-08-21 17:30:00+00:00,10.5
2021-08-21 18:00:00+00:00,11.4
2021-08-21 18:30:00+00:00,14.2
2021-08-21 19:00:00+00:00,14.4
2021-08-21 19:30:00+00:00,15.5
2021-08-21 20:00:00+00:00,16.4
2021-08-21 20:30:00+00:00,15.2
2021-08-21 21:00:00+00:00,16.2
2021-08-21 21:30:00+00:00,15.5
2021-08-21 22:00:00+00:00,16.0
2021-08-21 22:30:00+00:00,15.7
2021-08-21 23:00:00+00:00,15.5
