,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2024-01-01 00:00:00,2024-01-01 00:00:00+00:00,0.0,0.0,0.0,6.273
2024-01-01 01:00:00,2024-01-01 01:00:00+00:00,0.0,0.0,0.0,6.188
2024-01-01 02:00:00,2024-01-01 02:00:00+00:00,0.0,0.0,0.0,6.104
2024-01-01 03:00:00,2024-01-01 03:00:00+00:00,0.0,0.0,0.0,5.928
2024-01-01 04:00:00,2024-01-01 04:00:00+00:00,0.0,0.0,0.0,5.747
2024-01-01 05:00:00,2024-01-01 05:00:00+00:00,0.0,0.0,0.0,5.443
2024-01-01 06:00:00,2024-01-01 06:00:00+00:00,0.0,0.0,0.0,5.214
2024-01-01 07:00:00,2024-01-01 07:00:00+00:00,0.0,0.0,0.0,4.958
2024-01-01 08:00:00,2024-01-01 08:00:00+00:00,0.008,0.008,0.01,4.417
2024-01-01 09:00:00,2024-01-01 09:00:00+00:00,0.074,0.038,0.054,4.702
2024-01-01 10:00:00,2024-01-01 10:00:00+00:00,0.11800000000000001,0.052000000000000005,0.08700000000000001,5.588
2024-01-01 11:00:00,2024-01-01 11:00:00+00:00,0.115,0.039,0.097,6.293
2024-01-01 12:00:00,2024-01-01 12:00:00+00:00,0.088,0.022,0.08700000000000001,6.745
2024-01-01 13:00:00,2024-01-01 13:00:00+00:00,0.041,0.006,0.051000000000000004,6.729
2024-01-01 14:00:00,2024-01-01 14:00:00+00:00,0.01,0.001,0.02,6.479
2024-01-01 15:00:00,2024-01-01 15:00:00+00:00,0.0,0.0,0.004,6.337
2024-01-01 16:00:00,2024-01-01 16:00:00+00:00,0.0,0.0,0.0,6.428
2024-01-01 17:00:00,2024-01-01 17:00:00+00:00,0.0,0.0,0.0,6.758
2024-01-01 18:00:00,2024-01-01 18:00:00+00:00,0.0,0.0,0.0,7.35
2024-01-01 19:00:00,2024-01-01 19:00:00+00:00,0.0,0.0,0.0,8.135
2024-01-01 20:00:00,2024-01-01 20:00:00+00:00,0.0,0.0,0.0,8.923
2024-01-01 21:00:00,2024-01-01 21:00:00+00:00,0.0,0.0,0.0,9.258
2024-01-01 22:00:00,2024-01-01 22:00:00+00:00,0.0,0.0,0.0,9.477
2024-01-01 23:00:00,2024-01-01 23:00:00+00:00,0.0,0.0,0.0,9.562
2024-01-02 00:00:00,2024-01-02 00:00:00+00:00,0.0,0.0,0.0,9.59
2024-01-02 01:00:00,2024-01-02 01:00:00+00:00,0.0,0.0,0.0,9.66
2024-01-02 02:00:00,2024-01-02 02:00:00+00:00,0.0,0.0,0.0,9.634
2024-01-02 03:00:00,2024-01-02 03:00:00+00:00,0.0,0.0,0.0,9.412
2024-01-02 04:00:00,2024-01-02 04:00:00+00:00,0.0,0.0,0.0,9.012
2024-01-02 05:00:00,2024-01-02 05:00:00+00:00,0.0,0.0,0.0,8.461
2024-01-02 06:00:00,2024-01-02 06:00:00+00:00,0.0,0.0,0.0,8.449
2024-01-02 07:00:00,2024-01-02 07:00:00+00:00,0.0,0.0,0.0,8.411
2024-01-02 08:00:00,2024-01-02 08:00:00+00:00,0.0,0.0,0.004,8.498
2024-01-02 09:00:00,2024-01-02 09:00:00+00:00,0.011,0.002,0.021,9.135
2024-01-02 10:00:00,2024-01-02 10:00:00+00:00,0.02,0.002,0.032,9.863
2024-01-02 11:00:00,2024-01-02 11:00:00+00:00,0.023,0.002,0.036000000000000004,10.466
2024-01-02 12:00:00,2024-01-02 12:00:00+00:00,0.041,0.004,0.054,11.101
2024-01-02 13:00:00,2024-01-02 13:00:00+00:00,0.044,0.006,0.056,11.5
2024-01-02 14:00:00,2024-01-02 14:00:00+00:00,0.027,0.005,0.038,11.136
2024-01-02 15:00:00,2024-01-02 15:00:00+00:00,0.002,0.001,0.008,10.489
2024-01-02 16:00:00,2024-01-02 16:00:00+00:00,0.0,0.0,0.0,9.491
2024-01-02 17:00:00,2024-01-02 17:00:00+00:00,0.0,0.0,0.0,8.435
2024-01-02 18:00:00,2024-01-02 18:00:00+00:00,0.0,0.0,0.0,8.081
2024-01-02 19:00:00,2024-01-02 19:00:00+00:00,0.0,0.0,0.0,7.87
2024-01-02 20:00:00,2024-01-02 20:00:00+00:00,0.0,0.0,0.0,7.713
2024-01-02 21:00:00,2024-01-02 21:00:00+00:00,0.0,0.0,0.0,7.461
2024-01-02 22:00:00,2024-01-02 22:00:00+00:00,0.0,0.0,0.0,7.218
2024-01-02 23:00:00,2024-01-02 23:00:00+00:00,0.0,0.0,0.0,7.099
2024-01-03 00:00:00,2024-01-03 00:00:00+00:00,0.0,0.0,0.0,7.387
2024-01-03 01:00:00,2024-01-03 01:00:00+00:00,0.0,0.0,0.0,7.654
2024-01-03 02:00:00,2024-01-03 02:00:00+00:00,0.0,0.0,0.0,7.836
2024-01-03 03:00:00,2024-01-03 03:00:00+00:00,0.0,0.0,0.0,7.763
2024-01-03 04:00:00,2024-01-03 04:00:00+00:00,0.0,0.0,0.0,7.499
2024-01-03 05:00:00,2024-01-03 05:00:00+00:00,0.0,0.0,0.0,7.239
2024-01-03 06:00:00,2024-01-03 06:00:00+00:00,0.0,0.0,0.0,7.233
2024-01-03 07:00:00,2024-01-03 07:00:00+00:00,0.0,0.0,0.0,7.293
2024-01-03 08:00:00,2024-01-03 08:00:00+00:00,0.0,0.001,0.005,7.351
