,local_time,electricity,wind_speed
2024-01-01 00:00:00,2024-01-01 00:00:00+00:00,0.811,11.755
2024-01-01 01:00:00,2024-01-01 01:00:00+00:00,0.809,11.728
2024-01-01 02:00:00,2024-01-01 02:00:00+00:00,0.803,11.657
2024-01-01 03:00:00,2024-01-01 03:00:00+00:00,0.785,11.428
2024-01-01 04:00:00,2024-01-01 04:00:00+00:00,0.749,11.022
2024-01-01 05:00:00,2024-01-01 05:00:00+00:00,0.667,10.226
2024-01-01 06:00:00,2024-01-01 06:00:00+00:00,0.594,9.599
2024-01-01 07:00:00,2024-01-01 07:00:00+00:00,0.507,8.905
2024-01-01 08:00:00,2024-01-01 08:00:00+00:00,0.379,7.91
2024-01-01 09:00:00,2024-01-01 09:00:00+00:00,0.304,7.278
2024-01-01 10:00:00,2024-01-01 10:00:00+00:00,0.277,7.046
2024-01-01 11:00:00,2024-01-01 11:00:00+00:00,0.216,6.462
2024-01-01 12:00:00,2024-01-01 12:00:00+00:00,0.197,6.269
2024-01-01 13:00:00,2024-01-01 13:00:00+00:00,0.20700000000000002,6.3790000000000004
2024-01-01 14:00:00,2024-01-01 14:00:00+00:00,0.255,6.845
2024-01-01 15:00:00,2024-01-01 15:00:00+00:00,0.321,7.431
2024-01-01 16:00:00,2024-01-01 16:00:00+00:00,0.437,8.368
2024-01-01 17:00:00,2024-01-01 17:00:00+00:00,0.596,9.617
2024-01-01 18:00:00,2024-01-01 18:00:00+00:00,0.684,10.384
2024-01-01 19:00:00,2024-01-01 19:00:00+00:00,0.732,10.845
2024-01-01 20:00:00,2024-01-01 20:00:00+00:00,0.753,11.066
2024-01-01 21:00:00,2024-01-01 21:00:00+00:00,0.737,10.891
2024-01-01 22:00:00,2024-01-01 22:00:00+00:00,0.75,11.034
2024-01-01 23:00:00,2024-01-01 23:00:00+00:00,0.726,10.789
2024-01-02 00:00:00,2024-01-02 00:00:00+00:00,0.68,10.344
2024-01-02 01:00:00,2024-01-02 01:00:00+00:00,0.66,10.153
2024-01-02 02:00:00,2024-01-02 02:00:00+00:00,0.636,9.946
2024-01-02 03:00:00,2024-01-02 03:00:00+00:00,0.5670000000000001,9.386
2024-01-02 04:00:00,2024-01-02 04:00:00+00:00,0.445,8.429
2024-01-02 05:00:00,2024-01-02 05:00:00+00:00,0.34400000000000003,7.618
2024-01-02 06:00:00,2024-01-02 06:00:00+00:00,0.27,6.985
2024-01-02 07:00:00,2024-01-02 07:00:00+00:00,0.228,6.585
2024-01-02 08:00:00,2024-01-02 08:00:00+00:00,0.24,6.704
2024-01-02 09:00:00,2024-01-02 09:00:00+00:00,0.322,7.437
2024-01-02 10:00:00,2024-01-02 10:00:00+00:00,0.434,8.335
2024-01-02 11:00:00,2024-01-02 11:00:00+00:00,0.579,9.481
2024-01-02 12:00:00,2024-01-02 12:00:00+00:00,0.759,11.128
2024-01-02 13:00:00,2024-01-02 13:00:00+00:00,0.878,12.782
2024-01-02 14:00:00,2024-01-02 14:00:00+00:00,0.923,13.771
2024-01-02 15:00:00,2024-01-02 15:00:00+00:00,0.9540000000000001,14.756
2024-01-02 16:00:00,2024-01-02 16:00:00+00:00,0.975,15.836
2024-01-02 17:00:00,2024-01-02 17:00:00+00:00,0.966,15.299
2024-01-02 18:00:00,2024-01-02 18:00:00+00:00,0.928,13.884
2024-01-02 19:00:00,2024-01-02 19:00:00+00:00,0.837,12.115
2024-01-02 20:00:00,2024-01-02 20:00:00+00:00,0.767,11.223
2024-01-02 21:00:00,2024-01-02 21:00:00+00:00,0.719,10.716
2024-01-02 22:00:00,2024-01-02 22:00:00+00:00,0.632,9.914
2024-01-02 23:00:00,2024-01-02 23:00:00+00:00,0.524,9.037
2024-01-03 00:00:00,2024-01-03 00:00:00+00:00,0.502,8.872
2024-01-03 01:00:00,2024-01-03 01:00:00+00:00,0.47200000000000003,8.635
2024-01-03 02:00:00,2024-01-03 02:00:00+00:00,0.499,8.85
2024-01-03 03:00:00,2024-01-03 03:00:00+00:00,0.494,8.804
2024-01-03 04:00:00,2024-01-03 04:00:00+00:00,0.489,8.772
2024-01-03 05:00:00,2024-01-03 05:00:00+00:00,0.526,9.055
2024-01-03 06:00:00,2024-01-03 06:00:00+00:00,0.553,9.264
2024-01-03 07:00:00,2024-01-03 07:00:00+00:00,0.547,9.228
2024-01-03 08:00:00,2024-01-03 08:00:00+00:00,0.553,9.261
2024-01-03 09:00:00,2024-01-03 09:00:00+00:00,0.539,9.159
2024-01-03 10:00:00,2024-01-03 10:00:00+00:00,0.535,9.126
2024-01-03 11:00:00,2024-01-03 11:00:00+00:00,0.539,9.153
2024-01-03 12:00:00,2024-01-03 12:00:00+00:00,0.532,9.109
2024-01-03 13:00:00,2024-01-03 13:00:00+00:00,0.528,9.078
2024-01-03 14:00:00,2024-01-03 14:00:00+00:00,0.532,9.105
2024-01-03 15:00:00,2024-01-03 15:00:00+00:00,0.532,9.103
2024-01-03 16:00:00,2024-01-03 16:00:00+00:00,0.511,8.94
2024-01-03 17:00:00,2024-01-03 17:00:00+00:00,0.466,8.584
2024-01-03 18:00:00,2024-01-03 18:00:00+00:00,0.428,8.292
2024-01-03 19:00:00,2024-01-03 19:00:00+00:00,0.392,8.009
2024-01-03 20:00:00,2024-01-03 20:00:00+00:00,0.361,7.757
2024-01-03 21:00:00,2024-01-03 21:00:00+00:00,0.35100000000000003,7.676
2024-01-03 22:00:00,2024-01-03 22:00:00+00:00,0.353,7.702
2024-01-03 23:00:00,2024-01-03 23:00:00+00:00,0.395,8.039
2024-01-04 00:00:00,2024-01-04 00:00:00+00:00,0.47300000000000003,8.642
2024-01-04 01:00:00,2024-01-04 01:00:00+00:00,0.53,9.091
2024-01-04 02:00:00,2024-01-04 02:00:00+00:00,0.542,9.183
2024-01-04 03:00:00,2024-01-04 03:00:00+00:00,0.494,8.798
2024-01-04 04:00:00,2024-01-04 04:00:00+00:00,0.398,8.061
2024-01-04 05:00:00,2024-01-04 05:00:00+00:00,0.35000000000000003,7.663
2024-01-04 06:00:00,2024-01-04 06:00:00+00:00,0.29,7.164
2024-01-04 07:00:00,2024-01-04 07:00:00+00:00,0.232,6.627
2024-01-04 08:00:00,2024-01-04 08:00:00+00:00,0.168,5.944
2024-01-04 09:00:00,2024-01-04 09:00:00+00:00,0.124,5.394
2024-01-04 10:00:00,2024-01-04 10:00:00+00:00,0.091,4.896
2024-01-04 11:00:00,2024-01-04 11:00:00+00:00,0.07,4.52
2024-01-04 12:00:00,2024-01-04 12:00:00+00:00,0.059000000000000004,4.304
2024-01-04 13:00:00,2024-01-04 13:00:00+00:00,0.07100000000000001,4.551
2024-01-04 14:00:00,2024-01-04 14:00:00+00:00,0.125,5.402
2024-01-04 15:00:00,2024-01-04 15:00:00+00:00,0.201,6.312
2024-01-04 16:00:00,2024-01-04 16:00:00+00:00,0.292,7.181
2024-01-04 17:00:00,2024-01-04 17:00:00+00:00,0.355,7.719
2024-01-04 18:00:00,2024-01-04 18:00:00+00:00,0.41300000000000003,8.179
2024-01-04 19:00:00,2024-01-04 19:00:00+00:00,0.445,8.422
2024-01-04 20:00:00,2024-01-04 20:00:00+00:00,0.51,8.926
2024-01-04 21:00:00,2024-01-04 21:00:00+00:00,0.579,9.48
2024-01-04 22:00:00,2024-01-04 22:00:00+00:00,0.647,10.046
2024-01-04 23:00:00,2024-01-04 23:00:00+00:00,0.664,10.195
2024-01-05 00:00:00,2024-01-05 00:00:00+00:00,0.604,9.683
2024-01-05 01:00:00,2024-01-05 01:00:00+00:00,0.544,9.192
2024-01-05 02:00:00,2024-01-05 02:00:00+00:00,0.498,8.838
2024-01-05 03:00:00,2024-01-05 03:00:00+00:00,0.442,8.396
2024-01-05 04:00:00,2024-01-05 04:00:00+00:00,0.393,8.021
2024-01-05 05:00:00,2024-01-05 05:00:00+00:00,0.359,7.739
2024-01-05 06:00:00,2024-01-05 06:00:00+00:00,0.34400000000000003,7.616
2024-01-05 07:00:00,2024-01-05 07:00:00+00:00,0.318,7.411
2024-01-05 08:00:00,2024-01-05 08:00:00+00:00,0.291,7.17
2024-01-05 09:00:00,2024-01-05 09:00:00+00:00,0.23900000000000002,6.696
2024-01-05 10:00:00,2024-01-05 10:00:00+00:00,0.196,6.2540000000000004
2024-01-05 11:00:00,2024-01-05 11:00:00+00:00,0.186,6.156
2024-01-05 12:00:00,2024-01-05 12:00:00+00:00,0.199,6.296
2024-01-05 13:00:00,2024-01-05 13:00:00+00:00,0.187,6.162
2024-01-05 14:00:00,2024-01-05 14:00:00+00:00,0.152,5.761
2024-01-05 15:00:00,2024-01-05 15:00:00+00:00,0.163,5.8950000000000005
2024-01-05 16:00:00,2024-01-05 16:00:00+00:00,0.198,6.287
2024-01-05 17:00:00,2024-01-05 17:00:00+00:00,0.211,6.415
2024-01-05 18:00:00,2024-01-05 18:00:00+00:00,0.214,6.452
2024-01-05 19:00:00,2024-01-05 19:00:00+00:00,0.198,6.281
2024-01-05 20:00:00,2024-01-05 20:00:00+00:00,0.19,6.197
2024-01-05 21:00:00,2024-01-05 21:00:00+00:00,0.195,6.239
2024-01-05 22:00:00,2024-01-05 22:00:00+00:00,0.21,6.403
2024-01-05 23:00:00,2024-01-05 23:00:00+00:00,0.224,6.549
2024-01-06 00:00:00,2024-01-06 00:00:00+00:00,0.219,6.49
2024-01-06 01:00:00,2024-01-06 01:00:00+00:00,0.202,6.322
2024-01-06 02:00:00,2024-01-06 02:00:00+00:00,0.19,6.193
2024-01-06 03:00:00,2024-01-06 03:00:00+00:00,0.186,6.154
2024-01-06 04:00:00,2024-01-06 04:00:00+00:00,0.181,6.092
2024-01-06 05:00:00,2024-01-06 05:00:00+00:00,0.17,5.957
2024-01-06 06:00:00,2024-01-06 06:00:00+00:00,0.17,5.961
2024-01-06 07:00:00,2024-01-06 07:00:00+00:00,0.157,5.821
2024-01-06 08:00:00,2024-01-06 08:00:00+00:00,0.14200000000000002,5.6290000000000004
2024-01-06 09:00:00,2024-01-06 09:00:00+00:00,0.13,5.476
2024-01-06 10:00:00,2024-01-06 10:00:00+00:00,0.125,5.402
2024-01-06 11:00:00,2024-01-06 11:00:00+00:00,0.123,5.378
2024-01-06 12:00:00,2024-01-06 12:00:00+00:00,0.13,5.462
2024-01-06 13:00:00,2024-01-06 13:00:00+00:00,0.14200000000000002,5.634
2024-01-06 14:00:00,2024-01-06 14:00:00+00:00,0.14,5.603
2024-01-06 15:00:00,2024-01-06 15:00:00+00:00,0.15,5.733
2024-01-06 16:00:00,2024-01-06 16:00:00+00:00,0.18,6.08
